system:index,class,mean,.geo
0,0,0.022797690281569947,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1,0.16539592784396137,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2,0.2494397246457072,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3,0.34981392878959605,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4,0.4485130659934935,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5,0.5496508102493728,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6,0.6498748220765541,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7,0.7505959006896766,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,8,0.8507450072123582,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9,0.9618216662934149,"{""type"":""MultiPoint"",""coordinates"":[]}"
