system:index,1_20140101_avg_rad,1_20140201_avg_rad,1_20140301_avg_rad,1_20140401_avg_rad,1_20140501_avg_rad,1_20140601_avg_rad,1_20140701_avg_rad,1_20140801_avg_rad,1_20140901_avg_rad,1_20141001_avg_rad,1_20141101_avg_rad,1_20141201_avg_rad,2_20150101_avg_rad,2_20150201_avg_rad,2_20150301_avg_rad,2_20150401_avg_rad,2_20150501_avg_rad,2_20150601_avg_rad,2_20150701_avg_rad,2_20150801_avg_rad,2_20150901_avg_rad,2_20151001_avg_rad,2_20151101_avg_rad,2_20151201_avg_rad,3_20160101_avg_rad,3_20160201_avg_rad,3_20160301_avg_rad,3_20160401_avg_rad,3_20160501_avg_rad,3_20160601_avg_rad,3_20160701_avg_rad,3_20160801_avg_rad,3_20160901_avg_rad,3_20161001_avg_rad,3_20161101_avg_rad,3_20161201_avg_rad,4_20170101_avg_rad,4_20170201_avg_rad,4_20170301_avg_rad,4_20170401_avg_rad,4_20170501_avg_rad,4_20170601_avg_rad,4_20170701_avg_rad,4_20170801_avg_rad,4_20170901_avg_rad,4_20171001_avg_rad,4_20171101_avg_rad,4_20171201_avg_rad,5_20180101_avg_rad,5_20180201_avg_rad,5_20180301_avg_rad,5_20180401_avg_rad,5_20180501_avg_rad,5_20180601_avg_rad,5_20180701_avg_rad,5_20180801_avg_rad,5_20180901_avg_rad,5_20181001_avg_rad,5_20181101_avg_rad,5_20181201_avg_rad,6_20190101_avg_rad,6_20190201_avg_rad,6_20190301_avg_rad,6_20190401_avg_rad,6_20190501_avg_rad,6_20190601_avg_rad,6_20190701_avg_rad,6_20190801_avg_rad,6_20190901_avg_rad,6_20191001_avg_rad,6_20191101_avg_rad,6_20191201_avg_rad,7_20200101_avg_rad,7_20200201_avg_rad,7_20200301_avg_rad,7_20200401_avg_rad,7_20200501_avg_rad,7_20200601_avg_rad,7_20200701_avg_rad,7_20200801_avg_rad,7_20200901_avg_rad,7_20201001_avg_rad,7_20201101_avg_rad,7_20201201_avg_rad,class,.geo
0,4.9700734910309015,5.012855747822641,3.458745032689472,2.3816302200669868,2.400960124696295,2.056885625903397,2.1434041673283133,2.1380485165920935,1.843981303924232,2.256501306632325,2.7660949776797317,3.0728046308057935,3.472195295952039,5.41284509165957,3.186230602164796,2.547989784212003,2.0001764626995127,1.7535196833312094,1.910119046119989,1.951925165069112,1.6096813787185371,1.8793993286777793,2.3955032039668307,2.859705384114801,2.9659631429912365,4.228910834571437,2.4357826757916934,2.3707451816700678,2.090921232812938,1.8432737738065719,1.5764795787510983,1.7307878578582707,1.7845818875150832,1.813722362924909,2.29662738882827,2.9443265763960085,2.566729311153924,2.7304438403455253,2.7476429469502697,2.6098397331129957,2.137477839051247,1.8397654881984484,1.7840176245949748,2.0460776541601176,1.7500357338248518,2.146541403132638,2.693202048613235,4.188070347349753,3.3561357891163928,2.9590496066186187,3.4521649706797,2.7078196316205267,2.0137229680112956,1.9325879742722014,1.8506663755043389,2.121812609503264,1.4120518892759106,1.982791036858595,2.547876875003229,2.8609951289849263,2.8183802092287977,2.9506216411373214,4.081338283017861,2.5148739819423334,1.8346940554995028,2.221416722309077,2.052161101063378,2.1183999735859818,1.965796138896754,2.0201130374793377,2.684856669113622,3.139450615657256,3.513448319310714,3.0661278650284545,2.8228821270692976,2.616910802585097,2.0329111633979164,2.052500305568177,2.04426587287414,1.9877676802262438,2.3171655976047965,2.118429040018637,2.8266176504210505,5.033213526209247,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,16.207337723320396,16.032628918924544,10.437949630365962,9.326518063057918,7.330734908191855,8.126580172026191,7.88343583272514,7.9477305194327466,7.989659658699197,8.161560903067835,9.714668055513684,8.722514253689877,11.99526062420226,18.065328616392186,9.761747581412523,9.433317056097628,7.819743820779414,7.258108525611792,7.268391891712092,7.563707222588722,7.2373476447355864,8.106171646869813,8.307279038373181,9.311122481138534,10.450107885399738,13.088731867381842,8.132804043384352,8.759896247001155,7.146337484602058,7.482576353547827,6.446997018227142,6.948413114900897,7.09575088711119,7.20660109290964,8.1601583096859,9.937005422647573,8.091976053675914,9.160641114311026,8.918951402252192,8.852365426659215,7.4334202691617906,7.610310637433347,7.01770837884359,7.527173532620478,6.93404651418672,7.736260803696449,9.26957795115779,12.563253502640768,10.200661635493168,8.729609541740091,10.305994348127461,8.846311464939657,6.635360114820005,7.341087478315389,7.072508456126148,6.750205571522844,5.2420765530942655,7.287924327388857,7.944198840350259,8.518921621841667,9.771215381531952,9.650839797429628,12.289704240754707,8.512251935429283,5.759790998996404,7.682196419427218,7.20077266970897,7.638604572701021,7.1945027746433325,7.126132951475249,8.942790281863152,8.589234785214025,10.676554566780482,9.36561168563475,8.940585461444796,8.423684018757337,6.335230068084141,7.252638750905579,7.369634999235983,7.238849144070726,7.36207272743241,6.799725908601943,9.154997237279341,14.526954368964784,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,17.29548198989974,17.89975417082412,11.060473899304112,8.84298303671273,7.319816808658074,7.795815196560282,7.3054478699581935,7.196073329503964,7.293872252462772,7.869143448796882,9.553462559771456,9.300480545467186,12.284026010499439,19.493656114272532,9.920339564770183,9.044191001405508,7.5439468263876455,6.748455138627124,6.890368737013047,7.165495486591309,6.746393784351501,7.52642259623377,7.961433222221827,9.281913838473969,9.917762483225964,13.81250334617817,8.438610504605787,8.67992627590125,7.164627306939515,7.17541652641039,6.440996002986265,6.590040194525499,6.753032474646659,6.9019653696125784,7.84587419465491,9.272736426110598,7.759129913231266,8.785805105761375,9.431323216084833,8.734918909677962,7.067299148541655,7.149274724038976,6.692855328115373,6.978120012092553,6.400707074454812,7.534868153869594,8.757577948009763,13.214552379100496,10.595157975756427,9.119481647521173,10.599271566658633,8.603726968839595,6.560257415910433,7.0785714564212,6.702705190370948,6.312363351140688,5.075329624989118,6.795844131464268,7.533082939152564,8.449683839157531,9.487271558492496,9.56990766025336,13.190656444781036,8.12583362303105,5.8706377006846004,7.121711666644369,6.8197709453784,7.083362166005993,6.613804922220293,6.462022144793981,8.573784268347488,8.539616332161106,10.91078483478157,9.383665067724062,8.677110265221547,8.202380897601607,6.392732035667769,7.112793349234775,6.902523425521701,6.849364110112844,6.754758890383207,6.575813404634253,8.68055696779951,14.918832441981086,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,23.524175592254064,24.75528842998208,14.970425646464005,12.101644321452422,9.590218025583084,10.608949671693265,10.088777490150797,9.993611001919755,10.018478440383838,10.821559496906827,13.086507506454456,12.122734550838135,16.840078978579296,26.7900965590441,13.191443406260223,12.210288638114994,10.268797047419904,9.454396760547528,9.642311198824515,9.816322055577746,9.3330064285012,10.448603980400605,10.646516586961594,12.31333141476734,13.43705016605046,17.9891185734724,11.210645377430374,11.73425992237089,9.733439180977578,9.796581122818981,8.687682325729597,9.00752781553087,9.118233931850245,9.351007935150019,10.608843869275713,12.42536734428645,10.533786300566053,11.847816119373038,12.662733942195443,11.432102999705833,9.642584283495223,9.89158649217049,9.108874723086402,9.577089762587892,8.91573388148861,10.286460440944763,11.885355376275951,17.279535882615612,14.10969520801927,12.123899671507521,14.430115310466626,11.780373393956063,8.819718408460595,9.597521382628283,9.345771746235389,8.68363099732181,6.852993221044169,8.963121321546891,9.87365520230307,11.101820586040269,12.607488931281402,12.805662101149194,17.65322121713603,10.825339751775893,7.614132834109827,9.55743506772142,9.244587892707939,9.60730699846555,9.165812741130885,8.798512311815868,11.444696848139609,11.205799167129593,14.252530870072931,12.45041700527228,11.736698578005388,10.912824015299497,8.509512739988304,9.44977713333513,9.222032246398813,9.178748827541916,9.017225970667377,8.567287556795787,11.374791549288284,19.324915337553882,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,30.678254586079337,31.57536361779001,19.0919058113324,16.041802801574434,12.24368663024829,14.205971784554087,13.312406499633022,13.314870737696511,13.362356044688944,14.45142071306312,17.054393817599042,15.587553159262523,21.736971865619395,34.793462718865186,16.96638446056828,16.227238650087095,13.862538004496576,12.797993351766975,13.024960571359602,13.308585255724983,12.599060046678787,14.338775789960136,14.25585451170308,16.396260641245707,17.46811518963876,22.94573967983353,14.698573029513504,15.741251442976113,13.040829812543624,13.465520921422392,12.037134067364734,12.389838330329875,12.458309829661198,12.661845231548048,14.350539908164523,16.65069332823999,14.149428580682354,15.952527004716854,16.47773049490535,15.083279774425119,12.79995548122796,13.218274753164572,12.097575441379115,12.854158337349984,12.124647563444082,13.938568966741656,15.613290652293362,22.255773789488607,18.08642132862364,15.744686429418222,18.539636074869524,15.438646461298596,11.768911812061168,12.94836654120844,12.424431803850243,11.64753232562301,9.423163110885975,11.93198974974079,13.114107786061899,14.595438580512782,16.89802991197084,17.115019170065764,22.684686150137924,14.563358385702903,9.993228949300503,12.910495825076419,12.435300833655335,12.891920287432377,12.595449224936306,11.810474678683796,15.314035073406217,14.647319879249052,18.440493501250174,15.925646658046348,15.216227622315825,14.536380775391173,11.308043344862192,13.069480511776696,12.74666698966948,12.341636202752,12.352110195890877,11.347318065688563,15.240267221900323,25.54762343827142,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,42.5560881675404,43.25934023360588,25.873365844967424,23.823458643613503,17.5463140849448,20.721888530945474,19.53079942735433,19.270489128417456,20.22940241778482,20.79074332098957,24.639551122582738,21.481947529073082,31.195722447094674,47.929690333734385,23.583393218566304,23.705592501138177,20.10617042816172,18.344156574743064,18.587749220501145,19.107076164498096,18.758925253601607,20.91457514065686,20.71085049692198,23.515220165065145,25.16699313428289,32.195461949963516,20.97713101552197,22.623736386146106,18.771951257269873,19.734764804733288,17.781908128421385,18.433459857783138,18.44444310018697,18.880442635507727,21.08221069462446,24.300046375148852,20.303771517898014,22.701221568959376,22.606015983179056,21.81799663769803,18.067655759598527,19.833219720169442,17.72145159695169,18.863778439093775,17.956650054220763,20.209195070758216,22.586579575380586,30.7906674989728,25.36082351787164,21.39581542502366,25.461081449128457,22.41967626822791,16.804945119171297,18.661239471363857,18.073212260721153,16.57970250527424,13.521034483287858,17.6970605845595,18.616218368385937,20.42440405013913,24.172932939398844,24.93075729535498,30.788781460293915,20.709431959972413,13.885740713657071,18.557298480472404,17.75685471898797,18.864728553902857,18.395292867652433,16.94781749194804,21.761166586572013,20.188255867580274,25.25823146183939,22.580919733536938,21.555103622408055,20.30061023527387,15.890231610875109,18.962880952211002,18.608675710491013,18.036728674551018,17.657786762115407,16.16139569866892,21.742106004788248,34.44567177490722,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,56.8077328685686,56.180300738590454,34.057469689148064,32.56306737379171,23.570657348254322,28.4796514419013,26.907347686358907,26.34058743459825,27.585022374732308,28.178138340290424,33.61843048809934,28.29711556045319,41.09537197194595,61.88399476111576,30.678885321775162,32.081621821753586,27.291315308081487,25.289662992095142,25.124991897997322,25.98555473196312,26.110517585065175,28.695364356386932,28.573857829315134,31.983654061377464,33.895473391889,42.01768591972788,28.142127771155472,30.632771907823717,24.936728841326914,27.054015064947784,24.07812879992547,25.326517870964217,25.22040937213786,25.566333529227744,28.815316862376502,32.53033228551643,27.350490378200593,30.592839877391437,29.63642440125408,28.624151899067726,24.99449979249211,27.483993500777657,24.475196326341056,26.05018896733155,25.03888606794044,27.731213960089107,31.164831983769904,40.7755842145932,33.52963359459341,29.11317400424251,34.2400564606585,30.712958878891886,23.406581290170077,26.001981395757706,25.22035262239889,22.512054392752447,18.78628978295477,24.188343001342204,25.594589439277705,27.62351537506892,32.9658639338686,34.66677856722275,41.062208124876086,28.311038462525183,18.413158393094363,25.776721225908634,24.25525379410603,25.892753379916087,25.67407522837288,23.30409859756607,29.813411050279733,26.695573668725807,32.90428152562713,30.28732041160473,29.180149966786907,27.418174637517293,21.545556418202146,25.95075559149587,25.45097417446912,25.04851550219536,24.25313027474471,21.509616897124708,30.096795777128005,45.87717007101604,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,69.70210487169798,68.5118689501782,41.53925670069379,41.3346704971678,28.987628035333938,35.74891142325949,34.40119031059458,33.542676873837074,35.249870952379396,35.749681615582126,41.56869238580044,34.50242389802613,50.305424074982554,75.18600074242492,37.113671527687096,40.73329776916404,34.12825426607861,31.970537179656223,31.66912318380305,33.005212968294295,33.89114855150243,37.023489330912035,36.06294453517497,39.812610850446596,42.39924875292045,50.941987731802136,35.13834096489092,38.33762866092013,31.385558585670502,34.719929659822135,30.240553239896748,32.462260930641236,32.261858945874124,32.85176288356539,36.7683739753632,41.45907989860005,34.21273055558353,38.713683450559635,36.122658263429145,36.03952781343751,32.387336774105094,35.90923094633906,31.223306428822827,34.14400543487367,32.68076588240548,36.1749025077332,40.39338476885755,50.531328146152816,41.21097486579775,36.42835190838611,42.84273156227503,39.65908215824729,30.4600490971347,33.746548293002306,32.969488525453386,29.17703718226319,24.299922635905816,31.41670848495988,32.86705428566891,34.539120116705796,42.497440586286295,43.710534577118665,50.52560851789944,36.84171532854656,22.82913417189374,32.92795029725657,31.39711105645567,33.779977295203025,32.96177479213816,30.056619190474883,38.572128488435155,33.007593632365605,40.811976570551906,38.15872107258754,36.82748278912653,35.25482624443455,27.599845153722804,33.699637167025294,33.20558355039077,32.727017674804614,30.710950624258786,27.324986480761446,38.32662578409535,57.552376088913356,7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,91.36709092830333,86.30536116622824,53.34066036308555,57.09895582263889,38.856256937013,49.70100976980709,47.005393520844585,46.37728394248632,48.7412521458566,48.351585795910125,56.2361041588172,43.973127709594095,66.15953985377966,96.20810159312356,48.171416673073246,54.682588258957765,46.38830312389702,43.435013001999835,42.33099967562,44.79474338865689,46.66209904288746,50.88977096730242,48.125607793486886,53.73665422413792,56.134941347218174,66.66598850435328,46.117262411960084,51.80375894675031,41.75546778627759,47.51853996088872,41.64707997233307,44.747719329146314,44.578003724758524,44.77890201276636,49.35165638058369,55.80951698812107,45.47808159675614,51.470970969303636,46.55513409842378,48.682082726576716,45.161346605785525,50.61979828844455,42.8157016012049,46.96558960003039,45.06946151123019,50.02658326747934,56.29133246088551,66.69172297280086,54.39382446395828,48.102973833461995,57.51393015367697,53.77066332909514,41.46944319184232,46.177360742635265,45.57167256349931,39.927645728436794,33.237494061127464,43.49832508046695,44.12657788089348,46.389190888363956,56.76056086445308,59.288359239602094,65.36435832364292,49.570569456290386,29.990859643353048,45.507287158566314,43.074801587597356,46.949620236505815,45.61792344842398,41.51744573987051,52.814988059776105,43.55899910007756,53.14272247346886,50.029767923126656,48.66261946673417,47.310323045680875,37.1300796683768,46.27191677496525,45.50156216722724,44.80460820789942,41.802393160079,37.11095842121519,52.49490171179748,74.29714138924557,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,112.50300978413004,102.38776616233864,65.28215709516877,73.56506290828032,50.373020001337785,65.59182191974624,61.996677505259214,61.105258088891674,64.29088445765942,62.94596284726818,71.55813573453062,53.732171418754554,82.84951708193158,114.916756236823,60.75535238507686,71.01482088412675,60.228464032222035,58.16768352418092,56.14817139475063,58.98618647230805,61.883800989479816,67.13091757302092,62.18086493609123,69.91573444776782,73.22124782738928,83.41645144165788,59.19183311236125,65.69263316276616,52.79492808101568,61.94460749669293,53.42162003326667,58.26344869624862,59.03345037759767,58.89562624306023,63.9879296287073,72.72564351768935,58.8577055545294,65.89501126544864,57.801229205871785,64.67464583891228,59.67326237723464,66.02020416646782,56.559832156695514,62.184396044138346,60.0244165169444,65.82512759157503,72.99493039707747,82.8425411054001,69.69525172197666,59.79812097744092,74.74338559438364,69.44273807169962,55.80024652882286,60.878243778141176,60.977888016083206,53.988717443992606,44.38541808651622,59.03869630128162,58.28336253461039,59.88899483513799,75.09609392702738,76.40018192327523,81.37062355851971,63.6300507486146,38.491342183002764,60.14279382161056,56.16075696315366,62.06993378424937,60.54050567686166,55.55236846535681,70.18440488590771,56.60656121462489,67.54348942667822,64.50133108696167,63.56135038836181,61.82874668039169,48.4548503384552,60.37438478660335,60.29885883469293,59.500458296095005,55.65374089312784,49.58896178864891,69.27910791381989,93.92197075358546,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
